Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
94,2017,9.1,9.4,15141,2,0,1,0
38,2017,0.48,0.54,8600,2,1,1,0
63,2014,2.55,3.98,46706,2,0,1,0
47,2009,0.9,1.75,40000,2,1,1,0
69,2015,8.65,13.6,24800,2,0,1,0
94,2014,6.45,9.4,45078,2,0,1,0
31,2017,0.48,0.51,4300,2,1,0,0
96,2013,2.9,4.41,56879,2,0,1,0
64,2015,4.0,5.8,40023,2,0,1,0
41,2014,1.15,2.4,7000,2,1,1,0
86,2017,23.0,25.39,15000,1,0,0,0
82,2015,4.85,5.7,21125,1,0,1,0
82,2017,5.25,5.7,20114,2,0,1,0
65,2016,5.85,7.87,24524,2,0,0,0
94,2012,5.35,9.4,32322,1,0,1,0
87,2016,6.4,8.4,12000,2,0,1,0
87,2016,5.65,7.9,28569,2,0,1,0
84,2010,3.25,6.79,58000,1,0,1,1
73,2009,2.25,7.21,77427,2,0,1,0
76,2015,5.8,7.71,25870,2,0,1,0
86,2016,20.75,25.39,29000,1,0,0,0
64,2015,4.0,7.0,40026,2,0,1,0
84,2012,3.1,6.79,52132,1,0,1,0
66,2014,5.3,6.8,16500,2,0,1,0
83,2011,2.95,4.6,53460,2,0,1,0
7,2010,0.45,0.95,27000,2,1,1,0
89,2012,1.25,2.69,50000,2,0,1,0
94,2012,4.5,9.4,36000,2,0,1,0
60,2015,0.55,0.84,58000,2,1,1,0
24,2007,0.2,0.75,49000,2,1,1,1
84,2014,6.0,7.6,77632,1,0,1,0
69,2013,5.0,9.9,56701,2,0,1,0
96,2011,2.85,4.15,5200,2,0,1,0
48,2013,1.25,1.5,15000,2,1,1,0
86,2005,2.75,10.21,90000,2,1,1,0
14,2015,0.65,0.74,5000,2,1,1,0
93,2013,4.75,9.54,43000,1,0,1,0
6,2016,0.72,0.95,500,2,1,1,0
43,2015,1.35,2.37,21700,2,1,1,0
81,2012,14.9,30.61,104707,1,0,0,0
1,2016,0.45,0.54,500,2,1,0,0
79,2015,4.75,7.85,40000,1,0,1,0
82,2015,5.15,5.7,34797,2,0,0,0
93,2011,2.95,7.74,49998,0,0,1,0
86,2005,3.51,13.7,75000,2,0,1,0
81,2013,16.0,30.61,135000,1,1,0,0
84,2016,6.25,7.6,7000,2,0,1,0
76,2015,6.1,7.71,26000,2,0,1,0
78,2014,4.75,6.76,40000,2,0,1,0
34,2013,0.42,0.73,12000,2,1,1,0
69,2015,8.55,13.09,60076,1,0,1,0
37,2014,0.65,1.2,23500,2,1,1,0
69,2015,8.4,13.6,34000,2,0,1,0
94,2012,5.2,9.4,71000,1,0,1,0
71,2009,3.6,15.04,70000,2,0,0,0
81,2015,23.0,30.61,40000,1,0,0,0
39,2011,0.35,1.05,30000,2,1,1,0
10,2012,0.2,0.57,25000,2,1,1,1
69,2017,11.5,12.5,9000,1,0,1,0
29,2005,0.2,0.57,55000,2,1,1,0
25,2015,0.4,0.55,6700,2,1,1,0
81,2014,19.99,35.96,41000,1,0,0,0
68,2017,7.75,9.29,37000,2,0,0,0
72,2015,11.25,13.6,68000,1,0,1,0
69,2013,5.25,9.9,54242,2,0,1,0
93,2011,4.4,8.01,50000,2,0,0,0
16,2012,0.45,0.99,14500,2,1,1,0
87,2016,6.0,8.4,4000,2,0,1,0
19,2013,0.2,0.65,24000,2,1,1,1
64,2014,3.9,7.0,36054,2,0,1,0
26,2016,0.5,0.55,31000,2,1,1,0
6,2017,0.75,0.95,3500,2,1,1,0
16,2013,0.5,0.99,45000,2,1,1,0
56,2017,1.7,1.82,1400,2,1,1,0
80,2013,3.45,6.05,47000,2,0,1,0
75,2016,2.9,4.43,12500,2,0,1,0
46,2013,1.0,1.47,46500,2,1,1,0
66,2016,5.3,5.9,5464,2,0,1,0
85,2017,4.9,5.71,2400,2,0,1,0
14,2008,0.2,0.75,60000,2,1,1,0
71,2013,7.45,18.61,56001,2,0,1,0
48,2016,1.2,1.5,18000,2,1,1,0
69,2015,7.5,10.0,27600,2,0,1,0
46,2017,1.35,1.47,4100,2,1,1,0
